Transaction Date,Post Date,Description,Category,Type,Amount,Memo
01/08/2026,01/09/2026,AMAZON MKTPL*HC0O42723,Shopping,Sale,-11.04,
01/07/2026,01/08/2026,TST*SWEET WHEAT BAKERY -,Food & Drink,Sale,-6.90,
01/07/2026,01/08/2026,REALTOR ASSOCIATION/ML,Personal,Sale,-291.00,
01/08/2026,01/08/2026,AMAZON MKTPL*AH6MY14K3,Shopping,Sale,-15.41,
01/08/2026,01/08/2026,Amazon.com*YV7R72TC3,Shopping,Sale,-18.45,
01/08/2026,01/08/2026,CINEMARK 1014 ONLINE,Entertainment,Sale,-7.50,
01/07/2026,01/08/2026,SP EQUATOR COFFEES,Groceries,Sale,-64.50,
01/08/2026,01/08/2026,FOOD.APPLE.COM,Food & Drink,Sale,-10.00,
01/06/2026,01/07/2026,AMAZON MKTPL*1R1262EO3,Shopping,Sale,-36.44,
01/06/2026,01/07/2026,GOOGLE *YouTubePremium,Bills & Utilities,Sale,-22.99,
01/06/2026,01/06/2026,Whole Foods PCH 10225,Groceries,Sale,-33.76,
01/04/2026,01/06/2026,NIJIYA MARKET #36,Groceries,Sale,-112.78,
01/05/2026,01/06/2026,FEDEX OFFIC37000003707,Personal,Sale,-3.04,
01/06/2026,01/06/2026,AMAZON MKTPL*WY8YG8933,Shopping,Sale,-50.71,
01/05/2026,01/06/2026,FEDEX OFFIC37000003707,Personal,Sale,-0.79,
01/04/2026,01/05/2026,CHEWY.COM,Shopping,Sale,-61.18,
01/04/2026,01/05/2026,SQ *DELICES DU CHEF - BIS,Food & Drink,Sale,-206.02,
01/05/2026,01/05/2026,TAOBAO.COM,Shopping,Return,341.18,
01/03/2026,01/05/2026,BUIL SAMGYE TANG,Food & Drink,Sale,-129.35,
01/05/2026,01/05/2026,TAOBAO.COM,Shopping,Sale,-341.18,
01/02/2026,01/05/2026,WOOGA SULLUNGTANG,Food & Drink,Sale,-46.39,
01/05/2026,01/05/2026,TAOBAO.COM,Shopping,Sale,-267.58,
01/03/2026,01/04/2026,DEL AMO FASHION CENTER,Food & Drink,Sale,-7.42,
01/01/2026,01/04/2026,REST BUBBA GUMP,Food & Drink,Sale,-38.89,
01/03/2026,01/04/2026,MADEWELL,Shopping,Sale,-86.00,
01/04/2026,01/04/2026,TACOMASA - E* TACOMASA,Food & Drink,Sale,-31.77,
01/02/2026,01/04/2026,TST*SWEET WHEAT BAKERY -,Food & Drink,Sale,-12.05,
01/02/2026,01/04/2026,CHIPOTLE MEX GR ONLINE,Food & Drink,Sale,-26.18,
01/02/2026,01/04/2026,TMMC CENTRALIZED SCHEDULI,Health & Wellness,Sale,-56.00,
01/01/2026,01/04/2026,OXXOVICARIO PVA,Groceries,Sale,-1.95,
01/03/2026,01/04/2026,WHOLEFDS RDB 10024,Groceries,Sale,-52.22,
01/02/2026,01/04/2026,UBER   *TRIP,Travel,Sale,-69.98,
01/01/2026,01/02/2026,ZTL*CENTROMORELOS,Shopping,Sale,-8.34,
01/01/2026,01/02/2026,UBER* TRIP,Travel,Sale,-1.11,
01/01/2026,01/02/2026,UBER* TRIP,Travel,Sale,-15.92,
01/02/2026,01/02/2026,ROVER.COM* PET SVCS.,Personal,Sale,-51.00,
01/01/2026,01/01/2026,Spectrum Mobile,Bills & Utilities,Sale,-30.00,
12/31/2025,01/01/2026,CHEWY.COM,Health & Wellness,Sale,-68.22,
12/31/2025,01/01/2026,MERPAGO*CREMA,Food & Drink,Sale,-3.63,
