pattern,merchant,category,category_group
85C BAKERY,85C Bakery Cafe,Coffee & Drinks,Food & Drink
99 RANCH,99 Ranch Market,Groceries,Food & Drink
AAA IDP,AAA International Driving Permit,Travel,Travel
ABACO LIBROS,Abaco Libros,Books,Shopping
AER LAP,Lima Airport ATM,Transfer,Transfer
AGRICOLA REGIONAL,Agricola Regional,Groceries,Food & Drink
ALASKA AIR,Alaska Airlines,Airlines,Transportation
AMAQ CUSCO,Amaq Restaurant Cusco,Dining Out,Food & Drink
AMAZON PRIME,Amazon Prime,Subscriptions,Bills & Subscriptions
AMC,AMC Theatres,Movies,Entertainment
AMERICAN EXPRESS,American Express Payment,Payment,Transfer
ANDAZ MEXICO CITY,Andaz Mexico City,Hotels,Travel
ANNUAL MEMBERSHIP FEE,Annual Fee,Payment,Transfer
APPLE CAFFE,Apple Cafeteria,Dining Out,Food & Drink
APPLE ESPR BAR,Apple Espresso Bar,Coffee & Drinks,Food & Drink
APPLE INC. DES:PAYROLL,Apple Salary,Salary,Income
APPLE.COM/US,Apple.com,Electronics,Shopping
APTO PTO VALLARTA,Puerto Vallarta Airport,Travel,Travel
AQUARIUM OF PACTIX,Aquarium of the Pacific,Entertainment,Entertainment
ARBITRADE,Arbitrade,Shopping,Shopping
ARENAS BARCELONA,Las Arenas Barcelona,Shopping,Shopping
ARROSSERIA LAS ARENAS,Arrosseria Las Arenas,Dining Out,Food & Drink
ARTEUM MATISSE,Arteum Matisse Museum,Entertainment,Entertainment
AU LAVOIR,Au Lavoir de France,Dining Out,Food & Drink
AUTOMATIC PAYMENT - THANK,Payment Confirmation,Payment,Transfer
AUTOPISTAS TERRASSA,Autopistas Terrassa,Tolls,Transportation
AUTOROUTES ASF,ASF Highway Toll,Tolls,Transportation
AVIGNON EN PROVE,Avignon,Travel,Travel
AVIGNON TOURISME,Avignon Tourism,Travel,Travel
AZAHAR EL DORADO,Azahar El Dorado Coffee,Coffee & Drinks,Food & Drink
AZUMA JAPANESE,Azuma Japanese Restaurant,Dining Out,Food & Drink
AllSaints,AllSaints,Clothing,Shopping
American Eagle,American Eagle Outfitters,Clothing,Shopping
Avolta BCN,Avolta Barcelona Duty Free,Shopping,Travel
BAJA CATCH,Baja Catch and Grill,Dining Out,Food & Drink
BAKEHOUSE,Bakehouse,Dining Out,Food & Drink
